date,time,Temperature(c),relative_humidity_2m (%),dew_point(2m),precipitation (mm),pressure_msl (hPa),surface_pressure (hPa),wind_speed_10m (km/h)
31-01-2024,00:00,14,88,12,0,1015.8,935.7,3.3
31-01-2024,01:00,14.1,86,11.8,0,1016.4,936.3,2.8
31-01-2024,02:00,14.7,84,12,0,1016.8,936.8,2.5
31-01-2024,03:00,16.9,78,13,0,1017.6,938.1,1.6
31-01-2024,04:00,19.8,64,12.8,0,1017.9,939.1,3.5
31-01-2024,05:00,22.1,57,13.2,0,1017.7,939.5,4.4
31-01-2024,06:00,23,52,12.6,0,1016.3,938.5,2.7
31-01-2024,07:00,24.4,49,13,0,1015.4,938,5.9
31-01-2024,08:00,24.9,45,12.1,0,1013.7,936.5,9.3
31-01-2024,09:00,25.1,42,11.3,0,1012.6,935.6,11.3
31-01-2024,10:00,24.7,42,11,0,1012.1,935,10.5
31-01-2024,11:00,24.7,43,11.3,0,1012.4,935.3,7.2
31-01-2024,12:00,23.9,53,13.8,0,1012.5,935.2,3.8
31-01-2024,13:00,22.8,63,15.4,0,1013.2,935.6,1
31-01-2024,14:00,22.1,64,15,0,1013.8,935.9,1.9
31-01-2024,15:00,20.9,64,13.9,0,1014.5,936.3,4
31-01-2024,16:00,19.6,71,14.2,0,1015.1,936.5,4.1
31-01-2024,17:00,19.1,74,14.3,0,1015.5,936.7,3.3
31-01-2024,18:00,18,79,14.3,0,1015.8,936.7,2.9
31-01-2024,19:00,17.8,79,14.1,0,1015.4,936.3,2.5
31-01-2024,20:00,17.7,78,13.8,0,1015.3,936.2,2.8
31-01-2024,21:00,17.1,80,13.7,0,1014.9,935.7,2.8
31-01-2024,22:00,16.8,81,13.5,0,1014.6,935.3,2.9
31-01-2024,23:00,16,85,13.5,0,1014.6,935.1,3.9
01-02-2024,00:00,15.4,89,13.6,0,1015.2,935.5,2.4
01-02-2024,01:00,15,89,13.2,0,1016,936.1,3.7
01-02-2024,02:00,15.1,89,13.3,0,1016.7,936.8,3.6
01-02-2024,03:00,17.7,81,14.4,0,1016.9,937.7,3.1
01-02-2024,04:00,21,66,14.4,0,1016.9,938.5,3.2
01-02-2024,05:00,23.5,50,12.5,0,1017.2,939.4,6.5
01-02-2024,06:00,24.4,48,12.7,0,1016.2,938.7,4.2
01-02-2024,07:00,25.4,43,11.9,0,1015.3,938.1,6.3
01-02-2024,08:00,26,38,10.6,0,1013.7,936.8,8.8
01-02-2024,09:00,26.4,35,9.7,0,1012.7,936,11.7
01-02-2024,10:00,26.2,34,9.1,0,1012.1,935.4,12.3
01-02-2024,11:00,25.7,34,8.6,0,1012.4,935.5,11.7
01-02-2024,12:00,24.5,41,10.4,0,1013.1,935.9,5.8
01-02-2024,13:00,22.5,49,11.2,0,1014,936.2,4.6
01-02-2024,14:00,21.8,50,10.9,0,1014.9,936.9,7.3
01-02-2024,15:00,20.7,55,11.3,0,1015.6,937.2,7
01-02-2024,16:00,20.1,56,11,0,1016.4,937.8,5.1
01-02-2024,17:00,19.4,59,11.2,0,1016.6,937.8,3.2
01-02-2024,18:00,19.3,65,12.5,0,1016.8,938,1.9
01-02-2024,19:00,19.1,64,12.1,0,1016.5,937.7,1.6
01-02-2024,20:00,18.8,65,12.1,0,1016.2,937.3,3.1
01-02-2024,21:00,18.6,65,11.9,0,1015.8,936.9,3.7
01-02-2024,22:00,18.4,65,11.7,0,1015.4,936.5,3.8
01-02-2024,23:00,18.1,63,11,0,1015.5,936.5,4.1
02-02-2024,00:00,16.8,73,12,0,1015.9,936.5,4.3
02-02-2024,01:00,16.5,74,11.9,0,1016.6,937.1,4.7
02-02-2024,02:00,16.6,76,12.4,0,1017.4,937.8,4.7
02-02-2024,03:00,19.3,67,13.1,0,1017.9,939,5.9
02-02-2024,04:00,21.9,57,13,0,1018.7,940.4,9.7
02-02-2024,05:00,24,48,12.3,0,1018.5,940.8,13.4
02-02-2024,06:00,25.4,41,11.2,0,1017.4,940.1,10.6
02-02-2024,07:00,26.1,36,9.9,0,1016.6,939.5,10.1
02-02-2024,08:00,26.7,33,9.1,0,1015.4,938.5,9.9
02-02-2024,09:00,26.8,31,8.2,0,1014.4,937.6,9.2
02-02-2024,10:00,26.4,31,7.9,0,1014,937.2,9.9
02-02-2024,11:00,25.7,33,8.3,0,1014.3,937.3,10
02-02-2024,12:00,24.5,39,9.7,0,1014.5,937.2,7.9
02-02-2024,13:00,22.2,47,10.3,0,1015.7,937.7,7.3
02-02-2024,14:00,20.9,51,10.4,0,1016.4,938,6.2
02-02-2024,15:00,19.9,55,10.6,0,1017,938.3,4
02-02-2024,16:00,19.2,61,11.5,0,1017.5,938.6,2.9
02-02-2024,17:00,18.5,65,11.8,0,1017.7,938.6,2.3
02-02-2024,18:00,18.1,67,11.9,0,1018.3,939.1,3.6
02-02-2024,19:00,17.5,70,12,0,1018.2,938.8,3.5
02-02-2024,20:00,17.1,71,11.8,0,1018.1,938.6,3.8
02-02-2024,21:00,16.7,71,11.4,0,1017.7,938.1,3.7
02-02-2024,22:00,16.4,70,10.9,0,1017.4,937.8,3.7
02-02-2024,23:00,16.1,69,10.4,0,1017.6,937.9,4
03-02-2024,00:00,16.3,63,9.2,0,1017.5,937.8,3.6
03-02-2024,01:00,15.7,65,9.2,0,1018.4,938.5,3.2
03-02-2024,02:00,15.7,64,8.9,0,1019,939.1,2.2
03-02-2024,03:00,17.7,60,9.9,0,1019.8,940.3,1.5
03-02-2024,04:00,20.5,51,10,0,1020.6,941.8,5.1
03-02-2024,05:00,22.7,45,10.1,0,1020.6,942.4,6.1
03-02-2024,06:00,24,40,9.6,0,1019.5,941.7,3.6
03-02-2024,07:00,25.3,34,8.3,0,1018.3,940.9,2.2
03-02-2024,08:00,26.2,31,7.7,0,1016.9,939.8,0.8
03-02-2024,09:00,26.8,29,7.3,0,1015.8,938.9,0.7
03-02-2024,10:00,26.9,29,7.4,0,1015.3,938.5,1.5
03-02-2024,11:00,26.5,30,7.5,0,1015.2,938.3,1.5
03-02-2024,12:00,25.4,41,11.2,0,1015.9,938.7,2
03-02-2024,13:00,23.3,54,13.5,0,1016.6,938.8,2.3
03-02-2024,14:00,22.3,55,12.8,0,1017.1,939,4
03-02-2024,15:00,20.6,52,10.4,0,1017.9,939.3,4.4
03-02-2024,16:00,19.5,60,11.6,0,1018.4,939.5,2.5
03-02-2024,17:00,18.9,58,10.4,0,1018.5,939.4,1.8
03-02-2024,18:00,18.1,58,9.7,0,1019.1,939.8,2.2
03-02-2024,19:00,17.5,60,9.6,0,1018.5,939.1,2.6
03-02-2024,20:00,16.8,60,9,0,1018.3,938.7,2.1
03-02-2024,21:00,16.4,61,8.8,0,1017.8,938.2,2.6
03-02-2024,22:00,15.9,62,8.7,0,1017.5,937.8,2.9
03-02-2024,23:00,15.5,62,8.3,0,1017.6,937.7,2.6
04-02-2024,00:00,16.1,60,8.4,0,1017.9,938.2,3.3
04-02-2024,01:00,15.7,61,8.2,0,1018.7,938.8,3.8
04-02-2024,02:00,15.5,63,8.5,0,1019.5,939.5,3.6
04-02-2024,03:00,17.1,66,10.7,0,1020.2,940.6,2.5
04-02-2024,04:00,22,44,9.2,0,1020.6,942.2,1.1
04-02-2024,05:00,24.4,40,10,0,1020.1,942.3,5.4
04-02-2024,06:00,25.8,40,11.2,0,1019.4,942,6.8
04-02-2024,07:00,27.2,37,11.2,0,1018.2,941.3,8.4
04-02-2024,08:00,28.1,35,11.2,0,1016.7,940.1,9
04-02-2024,09:00,28.5,33,10.7,0,1015.6,939.2,9.7
04-02-2024,10:00,28.3,33,10.5,0,1014.9,938.5,9.5
04-02-2024,11:00,27.7,35,10.8,0,1014.8,938.2,8.3
04-02-2024,12:00,26.5,40,11.8,0,1015.1,938.2,6.6
04-02-2024,13:00,24.4,46,12.1,0,1015.8,938.4,5.1
04-02-2024,14:00,22.8,53,12.8,0,1016.7,938.8,3.6
04-02-2024,15:00,22.1,59,13.7,0,1017.2,939.1,2.3
04-02-2024,16:00,21.5,59,13.1,0,1017.4,939.1,4
04-02-2024,17:00,20,63,12.7,0,1017.6,938.9,4.1
04-02-2024,18:00,19.1,67,12.8,0,1018,939,3.9
04-02-2024,19:00,18.6,69,12.8,0,1017.7,938.6,3.6
04-02-2024,20:00,18.1,71,12.8,0,1017.4,938.2,3.7
04-02-2024,21:00,17.7,72,12.6,0,1017.3,938,3.9
04-02-2024,22:00,17.4,73,12.5,0,1016.3,937,3.4
04-02-2024,23:00,17.2,74,12.6,0,1016.2,936.9,4
05-02-2024,00:00,17,75,12.5,0,1016.4,937,4.3
05-02-2024,01:00,16.6,77,12.6,0,1017.2,937.7,4.5
05-02-2024,02:00,16.7,78,12.9,0,1018.1,938.5,4.2
05-02-2024,03:00,19.9,72,14.7,0,1018.4,939.6,3.4
05-02-2024,04:00,24.1,55,14.5,0,1018.9,941.1,6.3
05-02-2024,05:00,26.5,48,14.6,0,1018.6,941.5,11.6
05-02-2024,06:00,27.8,43,14.1,0,1017.7,940.9,11.2
05-02-2024,07:00,28.9,40,14,0,1016.6,940.2,12.6
05-02-2024,08:00,30,35,12.9,0,1015.2,939.2,13.4
05-02-2024,09:00,30.5,31,11.5,0,1014.3,938.5,16.3
05-02-2024,10:00,30.5,28,10,0,1013.5,937.7,15.8
05-02-2024,11:00,29.7,30,10.3,0,1013.6,937.6,15.3
05-02-2024,12:00,28.6,36,12.1,0,1013.3,937.1,8.3
05-02-2024,13:00,26.2,43,12.6,0,1014.5,937.6,5.6
05-02-2024,14:00,24.5,47,12.4,0,1015.6,938.2,4.6
05-02-2024,15:00,23,52,12.6,0,1016.5,938.7,4.1
05-02-2024,16:00,22.2,60,14.1,0,1016.7,938.6,2.3
05-02-2024,17:00,21.4,59,13,0,1016.8,938.5,0.8
05-02-2024,18:00,21.1,59,12.8,0,1016.7,938.4,1.5
05-02-2024,19:00,20.2,62,12.7,0,1016.6,938,1.3
05-02-2024,20:00,19.4,65,12.6,0,1016.3,937.5,2.1
05-02-2024,21:00,18.4,69,12.6,0,1016.1,937.1,2.9
05-02-2024,22:00,17.6,72,12.5,0,1015.7,936.5,3.3
05-02-2024,23:00,16.7,75,12.2,0,1015.9,936.5,3.3
06-02-2024,00:00,15.9,76,11.7,0,1016.1,936.5,3.6
06-02-2024,01:00,15.1,80,11.7,0,1017,937.1,3.3
06-02-2024,02:00,15.1,81,11.9,0,1017.8,937.8,3.1
06-02-2024,03:00,18.2,76,13.9,0,1018.4,939.2,1.3
06-02-2024,04:00,22.8,57,13.8,0,1019,940.9,1.1
06-02-2024,05:00,25.3,51,14.4,0,1019,941.5,2.8
06-02-2024,06:00,26.6,48,14.7,0,1018.3,941.2,6.6
06-02-2024,07:00,28.5,36,12,0,1017,940.5,10
06-02-2024,08:00,29.6,29,9.7,0,1015.8,939.6,12.9
06-02-2024,09:00,29.8,27,8.8,0,1014.6,938.6,14.5
06-02-2024,10:00,29.5,27,8.6,0,1014.3,938.2,14.9
06-02-2024,11:00,28.6,28,8.3,0,1014.1,937.8,14.2
06-02-2024,12:00,27.2,35,10.4,0,1014.4,937.8,8.2
06-02-2024,13:00,24.5,47,12.4,0,1015.4,938,5.9
06-02-2024,14:00,23,58,14.3,0,1016.5,938.7,6.6
06-02-2024,15:00,21.7,64,14.6,0,1017.5,939.2,5.9
06-02-2024,16:00,20.2,73,15.2,0,1018.1,939.4,6
06-02-2024,17:00,19.2,80,15.7,0,1018.5,939.5,5.4
06-02-2024,18:00,18.1,87,15.9,0,1018.7,939.4,5.3
06-02-2024,19:00,17.5,91,16,0,1018.6,939.2,6
06-02-2024,20:00,16.8,93,15.7,0,1017.9,938.4,6.4
06-02-2024,21:00,16.4,93,15.2,0,1017.6,938,5.9
06-02-2024,22:00,16.1,93,15,0,1017.3,937.6,4.8
06-02-2024,23:00,15.7,93,14.6,0,1017.2,937.4,3.3
07-02-2024,00:00,15.4,94,14.5,0,1017.9,938,3.1
07-02-2024,01:00,15.1,94,14.2,0,1018.6,938.6,2.9
07-02-2024,02:00,15.2,94,14.3,0,1019.6,939.5,2.7
07-02-2024,03:00,17.4,84,14.7,0,1020.4,940.8,5.2
07-02-2024,04:00,20,73,15,0,1020.9,941.9,6.7
07-02-2024,05:00,22.5,64,15.4,0,1020.7,942.4,6.9
07-02-2024,06:00,24.3,57,15.2,0,1019.4,941.6,1.6
